Status ID,Status Type,Status Link,Status Name,Status Created Time,Status Message,Status Shares Count,Status Likes Count,Status Comments Count,Comment ID,Comment Created Time,Comment Message,Comment From,Comment Likes Count,Reply ID,Reply Created Time,Reply Message,Reply From,Reply Likes Count
157864337622558_1149802038428778,status,<no link>,<no name>,2016-11-10 20:08:07,"Big congrats 17-yr old Lui Yuan Chow for a new Singapore record over 3000m: 8:35.92!

Breaks old record of 8:43.87 by 2003 SEA Games 1500m bronze medalist and national record holder, Chamkaur Singh (3:51.59). 

#RoadToKL #SEAGames2017",0,41,0
157864337622558_1149108988498083,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1149108988498083/?type=3,Timeline Photos,2016-11-09 23:17:59,"While 9-year old Atlas' dad was getting in a solid workout on the track, I was put on babysitting duty. Big thanks to my friends for helping to entertain Atlas! He ran 10 laps around the track in lane 5 then got to meet Singapore's top 1500m runner Raviin Kumar, 400m hurdle record holder Dipna Lim-Prasad, and 400m record holder Zubin Muncherji. #SingaporeAthletics",0,20,0
157864337622558_1148937738515208,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1148937738515208/?type=3,Timeline Photos,2016-11-09 20:44:16,"Where in Singapore can you get Singapore's #1 para-runner, 1500m runner, and marathoner cheering you on in a workout? Nowhere but the ASICS Running Club . Join us every Wednesday for a workout led by Andy Neo and some of the best runners in Singapore. Zac Leow, Raviin Kumar and I all had fun rooting for you at Kallang Practice Track tonight! 

#WantItMore #BetterYourBest #ASICSSG",0,34,0
157864337622558_1147630651979250,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1147630651979250/?type=3,Timeline Photos,2016-11-08 10:41:09,I was this thrilled at finally doing a long run again with my longtime buddy Dr Suriya Prakaash. One of my best friends both on and off the roads. #MyMan,0,48,0
157864337622558_1146873505388298,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1146873505388298/?type=3,Timeline Photos,2016-11-07 16:42:26,"When you hold track races at night, photos are more epic, weather is more conducive for good performances, and spectating crowds are bigger. 

If you're not hosting a meet that's spectator friendly, you don't know track. 

Kudos to Singapore Athletics for getting it right at #Interclub2016. #SingaporeAthletics #RoadToKL 

Photo by Alvin Ho.",0,28,0
157864337622558_1145926608816321,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1145926608816321/?type=3,Timeline Photos,2016-11-06 17:26:12,"When I was 8 years old, Ernest Wong won the 1999 Singapore Marathon. Today we met for the first time at the #MR25 Progressive Run.",1,37,0
157864337622558_1145749728834009,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1145749728834009/?type=3,Timeline Photos,2016-11-06 11:44:53,"Solid long run this morning! Joined MacRitchie Runners 25 - MR25 for their progressive run, big thanks to MR25 President Steven Lee and all volunteers for putting on a fantastic event and growing a strong running family here in Macritchie. #SGRunning #MR25",0,52,0
157864337622558_1145098265565822,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1145098265565822/?type=3,Timeline Photos,2016-11-05 20:16:31,"Enjoyed trading ideas with coach Chu Seow Beng at a seminar for endurance coaches put together by the Singapore Sport Institute. Coach Chu coaches some of Singapore's top athletes, including runner Neo Hoon Suan and race walker Tin Shu Min. #SSICoaching",0,15,0
157864337622558_1143871372355178,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1143871372355178/?type=3,Timeline Photos,2016-11-04 12:16:22,"Every morning before work, I put one brick into my #RoadToKL.

5km warmup. 
3200m tempo, 8 x 15sec sprints,
3200m tempo, 8 x 15sec sprints.
5km cool down. 

#SEAGames2017 #CatchMeIfYouCan",0,85,1
157864337622558_1143655359043446,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1143655359043446/?type=3,Timeline Photos,2016-11-04 07:15:22,"Meeting some fans and very admirable runners in their own right at Wednesday's ASICS Running Club. Ivan Eng (left) helps lead the group run every Wednesday while Yvonne Yeo (right) just returned from a 2-year battle with plantar fasciitis to finally run marathons again. Respect!

#WantItMore #BetterYourBest #RunWithRui #RunSohFast",0,48,0
157864337622558_1143180905757558,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1143180905757558/?type=3,Timeline Photos,2016-11-03 22:25:28,"My honor to chat with a legend of Singapore sports and a role model both on and off the field. Former Singapore football captain Aide Iskandar and I sat down over a cup of coffee for a quick chat on Singapore sports and what can be done to improve our current state. 

His ideas for football are reflective of the incredible leadership he showed as a captain who guided Singapore to two ASEAN football crowns. I particularly identified with the vision that we have to do better career planning and retain our talents in the sport long after they have retired - to continue to train and inspire the next generation of budding athletes, passing knowledge on. 

Lots to be done, but with the right people, it is possible. 

#CaptainAide
#LiveBetterThroughSport #SportSingapore",0,24,0
157864337622558_1142660992476216,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1142660992476216/?type=3,Timeline Photos,2016-11-03 08:54:18,"Want some running buddies? Come run with the ASICS Running Club every Wednesday, 6:45pm from ASICS Suntec City. Amazing company (me excluded) and post-run free drinks for all (sports drinks, not beer). 

Come take over the streets at night with us! #ASICSSG #WantItMore #BetterYourBest",0,58,1,1142660992476216_1143094132432902,2016-11-03 20:46:57,Bring the beer if you're joining again next time. Lol😂️,Pris Chew (10154777257984885),1
157864337622558_1142229369186045,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1142229369186045/?type=3,Timeline Photos,2016-11-02 23:35:11,"Today I was a guest at the ASICS Running Club!  The group trots down the city streets of Singapore every Wednesday from the ASICS store at Suntec City.

Met an amazing group of runners, youngest being 10-year old Atlas and the oldest being... Well I actually don't know, everyone looked 21 to me. 

Keep up the good work guys! Fantastic running community we're growing here in Singapore.",0,32,0
157864337622558_1141694589239523,event,https://www.facebook.com/events/1692384924412432/,SMU Jump!,2016-11-02 07:08:27,A high jump competition in a shopping mall! A fully independent initiative by the students of Singapore Management University. An exciting way to bring athletics to the masses. Come join me to check it out!,0,4,0
157864337622558_1141245479284434,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1141245479284434/?type=3,Timeline Photos,2016-11-01 22:22:26,"Every Tuesday, I look forward to catching Coach Melvin Tan and the kids from the Active SG Athletics Academy after work. Enjoyed chatting with them about spike shoes, hurdling, and school. I found out that none of these kids knew each other until the Academy brought them together. Looking at how bonded they are now, I thought they had been friends for years already. Love how they made great friends through the sport! 

Come join us at the Home of Athletics (Kallang Practice Track) every Tuesday and Thursday at 6:30pm, every Saturday morning at 8am.

#ActiveSG #LiveBetterThroughSport",0,27,0
157864337622558_1141053465970302,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1141053465970302/?type=3,Timeline Photos,2016-11-01 17:29:01,"I might lack the speed
Of many a foe
But I can take more pain
Than anyone I know.",0,96,0
157864337622558_1140045299404452,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1140045299404452/?type=3,Timeline Photos,2016-10-31 14:03:59,I have cool colleagues. #SingaporeAthletics #SSI,0,23,0
157864337622558_1138987386176910,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/820553318020320/?type=3,Soh Rui Yong,2016-10-30 09:07:31,Timely reminder for anyone getting ready for Standard Chartered Marathon Singapore this December. All the best!,0,75,0
157864337622558_1137241339684848,video,https://www.facebook.com/wearemajulah/videos/1438463326182536/,We Are Majulah,2016-10-28 11:55:20,"Being right is one thing. Convincing people to do the right thing is another. That's something I've struggled with in the past, and I'm working on for the future. 

#WeAreMajulah",0,46,0
157864337622558_1137112393031076,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1137112393031076/?type=3,Timeline Photos,2016-10-28 08:00:50,"Friend of mine did this calculation after his IPPT test yesterday. 

A 2:24:55 marathon is ~82.5 seconds per lap around a 400m track, or 8min 14sec for a standard 2.4km military fitness test (Commando gold standard is 9:15).

The only difference is that while a 2.4km run is 6 laps around the track, a marathon is equivalent to 105.5 laps. Or more than 17 x 2.4km runs back to back.

#NoLimits",3,96,2,1137112393031076_1137545322987783,2016-10-28 20:32:32,,Vins Tan (10154638657355270),0
157864337622558_1137112393031076,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1137112393031076/?type=3,Timeline Photos,2016-10-28 08:00:50,"Friend of mine did this calculation after his IPPT test yesterday. 

A 2:24:55 marathon is ~82.5 seconds per lap around a 400m track, or 8min 14sec for a standard 2.4km military fitness test (Commando gold standard is 9:15).

The only difference is that while a 2.4km run is 6 laps around the track, a marathon is equivalent to 105.5 laps. Or more than 17 x 2.4km runs back to back.

#NoLimits",3,96,2,1137112393031076_1138125926263056,2016-10-29 11:35:38,That's a mind boggling fact :O,Rohan Palathinkal (625034577677870),0
157864337622558_1136650806410568,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1136650806410568/?type=3,Timeline Photos,2016-10-27 19:53:36,"Met some of the #ActiveSG Track Club sprinters today, under the guidance of the great coach Melvin Tan. They were having so much fun, it reminds me of why I joined track and field in the first place. Come join us! www.myactivesg.com/start-out/children-youth/academy/athletics

#Vision2030 #LiveBetterThroughSport",0,23,1,1136650806410568_1136874369721545,2016-10-28 01:32:58,"Very cool!  Did they call you ""uncle?""",William Thomas (1064428456911088),0
157864337622558_1135789183163397,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1135789183163397/?type=3,Timeline Photos,2016-10-26 19:39:19,"Giving a presentation as we work on coaching development in Singapore. Glad I've never been afraid to talk in class. 😂 #SSI #CoachAsLeader
📷: Troy Engle",0,16,1,1135789183163397_1136966649712317,2016-10-28 04:06:36,Hope to meet you someday when I make a trip home to Singapore.,Jessica Barone (1398170633556998),0
157864337622558_1135039559905026,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1135039559905026/?type=3,Timeline Photos,2016-10-25 21:37:42,"So glad you like this, Yogendra Gurung! Thank you again for your service to Singapore. You're a true warrior. #TeamGurkha #Interclub2016 #SingaporeAthletics",0,42,0
157864337622558_1134968309912151,status,<no link>,<no name>,2016-10-25 19:34:43,"Starting my long #RoadToKL tomorrow with a light fartlek: 15 x (1min on, 1min off).  Meet at Home of Athletics for warm up at 6:45am if you want to take this first step with me. #SEAGames2017",0,20,0
157864337622558_1134701059938876,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1134701059938876/?type=3,Timeline Photos,2016-10-25 11:52:32,It doesn't always have to be lonely at the top. #Interclub2016 #SingaporeAthletics,0,58,0
157864337622558_1134113293330986,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1134113293330986/?type=3,Timeline Photos,2016-10-24 19:47:55,"Was outnumbered by the Nepalese Gurkhas at #Interclub2016 last night but I had more hair than both of them combined so all was good. 

In all seriousness, big thanks to these soldiers for their sacrifices made to defend our country. They give off the tough guy vibe but are some of the nicest guys once you get to know them. 

📸: Alvin Ho.",2,152,4,1134113293330986_1134136119995370,2016-10-24 20:25:48,Awesome,Donavan Tino David (1786830741591076),0
157864337622558_1134113293330986,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1134113293330986/?type=3,Timeline Photos,2016-10-24 19:47:55,"Was outnumbered by the Nepalese Gurkhas at #Interclub2016 last night but I had more hair than both of them combined so all was good. 

In all seriousness, big thanks to these soldiers for their sacrifices made to defend our country. They give off the tough guy vibe but are some of the nicest guys once you get to know them. 

📸: Alvin Ho.",2,152,4,1134113293330986_1134195026656146,2016-10-24 21:55:36,They may not have long legs but those quads are incredible,JY Sim (1532806440079901),0
157864337622558_1134113293330986,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1134113293330986/?type=3,Timeline Photos,2016-10-24 19:47:55,"Was outnumbered by the Nepalese Gurkhas at #Interclub2016 last night but I had more hair than both of them combined so all was good. 

In all seriousness, big thanks to these soldiers for their sacrifices made to defend our country. They give off the tough guy vibe but are some of the nicest guys once you get to know them. 

📸: Alvin Ho.",2,152,4,1134113293330986_1134201993322116,2016-10-24 22:02:34,Thunder quads!!! 🏃💪🏻💪🏻,Martin Tang (10154469443920795),0
157864337622558_1134113293330986,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1134113293330986/?type=3,Timeline Photos,2016-10-24 19:47:55,"Was outnumbered by the Nepalese Gurkhas at #Interclub2016 last night but I had more hair than both of them combined so all was good. 

In all seriousness, big thanks to these soldiers for their sacrifices made to defend our country. They give off the tough guy vibe but are some of the nicest guys once you get to know them. 

📸: Alvin Ho.",2,152,4,1134113293330986_1134653389943643,2016-10-25 10:31:18,Congrats,Rowell Gelacio Hulleza (1283923615004886),0
157864337622558_1133954906680158,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1133954906680158/?type=3,Timeline Photos,2016-10-24 15:17:19,"Just a pair of colleagues trying to survive the Monday. Meet #ActiveSG football academy principal, Aleksandar Duric. Grew up watching him play on television so it's pretty cool to be working with him now. 
#SportSG #LiveBetterThroughSport",0,39,0
157864337622558_1133852510023731,photo,https://www.facebook.com/sohruiyong/photos/a.172796229462702.42103.157864337622558/1133852510023731/?type=3,Timeline Photos,2016-10-24 11:06:32,"Won a tactical 10000m at Singapore Athletics #Interclub2016 with a 1:37 last 600m (65sec last 400m). Memorable duel with Nimesh Gurung of Nepal who went toe-to-toe with me for 24 of the 25 laps of the track. Great competitor, fantastic crowd, beautiful night. 

#WantItMore #SingaporeAthletics 

Photo cred: @_xyzphoto",2,209,3,1133852510023731_1133857660023216,2016-10-24 11:16:04,nice to see a Singaporean win a Singapore Open race !,Andrew Cheong (10154293066294412),0
